pidp,a_sex,a_dvage,a_ukborn,a_racel,a_hlht,a_hlhtf,a_hlhti,a_hlhtc,a_hlwt,a_hlwts,a_hlwtp,a_hlwtk,a_vote1,a_vote2,a_vote3,a_vote4,a_vote5,a_vote6
68001367,1,39,1,1,1,6,0,-8,1,15,8,-8,2,2,1,-8,3,3
68004087,1,59,5,4,1,5,11,-8,2,-8,-8,70,1,-8,-8,1,3,2
68006127,2,39,1,1,1,5,1,-8,1,14,7,-8,2,2,95,-8,-8,4
68006135,2,17,1,1,1,4,9,-8,3,-8,-8,-8,2,2,95,-8,-8,4
68006807,2,72,1,1,1,5,4,-8,1,8,10,-8,2,2,95,-8,-8,4
68007487,2,57,1,1,1,5,3,-8,1,11,7,-8,2,2,95,-8,-8,1
68007491,1,59,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68007495,1,25,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68007499,1,22,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68008167,2,38,1,1,1,5,2,-8,1,8,6,-8,2,2,1,-8,3,3
68008171,1,51,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68008847,2,51,1,1,1,5,5,-8,1,20,0,-8,2,2,95,-8,-8,2
68009527,1,31,1,1,1,6,5,-8,1,14,7,-8,1,-8,-8,2,3,2
68010207,2,24,1,1,1,5,5,-8,1,10,10,-8,2,2,2,-8,3,3
68010887,2,45,1,1,1,5,6,-8,1,11,4,-8,2,1,-8,3,3,2
68010891,2,23,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68011567,1,35,1,1,1,5,11,-8,2,-8,-8,76,2,2,3,-8,3,2
68014287,2,39,1,1,1,5,3,-8,1,9,10,-8,2,2,1,-8,3,4
68014291,2,16,1,1,1,5,5,-8,1,7,12,-8,2,2,96,-8,-8,3
68014967,1,51,1,1,1,6,1,-8,1,16,10,-8,2,2,2,-8,2,4
68016327,1,61,1,1,1,5,5,-8,1,11,5,-8,2,2,95,-8,-8,3
68017687,2,29,1,1,1,5,6,-8,1,10,7,-8,2,2,95,-8,-8,4
68019047,1,26,1,1,1,6,0,-8,1,13,0,-8,2,2,2,-8,3,2
68019051,2,26,1,1,1,5,1,-8,1,7,10,-8,2,2,2,-8,3,2
68020407,2,72,1,1,1,5,3,-8,1,9,7,-8,2,1,-8,-1,-8,3
68023127,1,35,1,1,1,6,2,-8,1,17,4,-8,2,2,95,-8,-8,4
68023131,2,23,1,1,1,5,9,-8,1,11,13,-8,2,2,95,-8,-8,4
68025167,1,34,1,1,1,5,9,-8,1,16,6,-8,2,2,1,-8,3,2
68025847,2,73,1,1,1,5,3,-8,1,13,0,-8,2,1,-8,1,2,4
68026527,2,36,1,1,1,5,4,-8,1,10,0,-8,2,2,1,-8,3,4
68026535,2,18,1,1,1,5,5,-8,1,8,0,-8,2,2,2,-8,3,4
68028567,2,37,1,1,1,5,1,-8,1,11,0,-8,2,2,1,-8,3,4
68028571,1,42,1,1,1,5,9,-8,1,13,4,-8,2,2,1,-8,3,2
68028575,2,17,1,1,1,5,3,-8,1,8,0,-8,2,2,1,-8,3,4
68029927,2,36,1,1,1,5,3,-8,1,11,6,-8,1,-8,-8,2,2,2
68029931,1,40,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68030607,2,19,1,1,1,5,0,-8,1,11,7,-8,2,2,2,-8,3,4
68031967,2,61,1,1,1,4,11,-8,1,9,9,-8,1,-8,-8,2,3,4
68032647,1,24,1,1,1,6,1,-8,1,11,10,-8,2,2,95,-8,-8,2
68034007,2,70,1,1,1,4,11,-8,1,9,0,-8,2,2,2,-8,3,4
68035367,1,28,1,1,1,5,11,-8,1,11,0,-8,2,1,-8,2,3,3
68036727,1,77,1,1,1,5,7,-8,1,12,0,-8,2,1,-8,97,2,3
68037407,2,40,1,1,1,5,4,-8,1,7,3,-8,2,2,2,-8,3,4
68039447,1,60,1,1,1,5,7,-8,1,13,1,-8,1,-8,-8,1,2,2
68040127,2,80,1,1,1,5,5,-8,1,11,0,-8,1,-8,-8,2,2,3
68041487,2,39,2,1,1,5,8,-8,1,10,9,-8,2,1,-8,2,2,1
68041491,1,35,1,1,1,6,1,-8,1,15,0,-8,2,1,-8,2,3,2
68042167,1,39,1,1,1,6,0,-8,1,12,0,-8,1,-8,-8,2,2,2
68042171,2,38,1,1,1,5,2,-8,1,9,0,-8,1,-8,-8,2,2,3
68043527,1,55,1,1,1,5,8,-8,1,13,10,-8,2,2,95,-8,-8,4
68044207,2,33,4,1,1,5,5,-8,1,8,0,-8,2,2,95,-8,-8,4
68044211,1,36,1,1,1,5,8,-8,1,11,7,-8,2,1,-8,2,3,4
68044887,2,62,1,1,1,4,11,-8,1,7,4,-8,2,2,6,-8,3,3
68044891,1,61,1,1,1,5,11,-8,1,10,10,-8,1,-8,-8,1,2,1
68045567,2,47,1,1,1,5,5,-8,1,11,0,-8,2,2,-1,-8,-8,2
68045571,1,49,1,1,1,6,2,-8,1,15,6,-8,1,-8,-8,2,3,3
68046247,1,66,1,1,1,5,10,-8,1,12,0,-8,2,2,1,-8,3,2
68046251,2,63,1,1,1,5,4,-8,1,9,10,-8,1,-8,-8,1,3,3
68046927,2,36,4,1,1,5,6,-8,1,8,8,-8,2,2,95,-8,-8,4
68048287,1,62,1,1,1,5,10,-8,1,15,7,-8,2,2,95,-8,-8,4
68048291,2,62,1,1,1,5,5,-8,1,10,11,-8,2,2,95,-8,-8,4
68049647,1,51,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68049651,2,49,1,1,1,5,7,-8,1,10,0,-8,2,2,-1,-8,-8,3
68049655,1,21,1,1,1,6,4,-8,2,-8,-8,100,2,2,95,-8,-8,3
68049659,2,20,1,1,1,5,10,-8,3,-8,-8,-8,2,2,2,-8,3,4
68051007,1,48,1,1,1,5,10,-8,1,13,4,-8,2,2,1,-8,3,2
68051011,2,41,3,1,1,5,5,-8,1,10,2,-8,2,1,-8,1,3,3
68051687,1,32,1,1,1,6,4,-8,1,16,6,-8,2,1,-8,1,3,3
68051691,2,31,1,1,1,5,0,-8,1,10,1,-8,2,2,1,-8,3,4
68053047,1,61,1,1,1,5,7,-8,2,-8,-8,82,2,2,1,-8,3,2
68054407,2,86,1,1,1,5,1,-8,1,9,0,-8,2,1,-8,2,2,2
68056447,1,46,1,1,1,5,9,-8,1,12,7,-8,2,2,2,-8,3,4
68056451,2,44,1,1,1,5,8,-8,1,11,4,-8,2,1,-8,2,3,4
68057807,1,65,1,1,1,5,8,-8,1,15,4,-8,2,2,1,-8,3,2
68057811,2,61,1,1,1,5,6,-8,1,14,3,-8,2,1,-8,1,3,2
68058487,1,69,1,1,1,5,5,-8,1,11,0,-8,1,-8,-8,3,3,1
68058491,2,60,1,1,1,5,3,-8,2,-8,-8,56,1,-8,-8,3,3,1
68059167,2,73,1,1,1,5,6,-8,1,15,0,-8,2,2,-1,-8,-8,4
68059171,2,19,1,1,1,5,5,-8,1,8,8,-8,2,2,-1,-8,-8,3
68059847,2,89,1,1,1,5,1,-8,1,8,8,-8,2,2,1,-8,3,4
68060527,1,35,1,1,1,5,9,-8,1,16,12,-8,2,2,-1,-8,-8,2
68060531,2,36,1,1,1,5,10,-8,1,10,0,-8,2,2,1,-8,3,3
68061207,1,29,1,1,1,5,11,-8,2,-8,-8,72,2,1,-8,1,3,2
68061887,1,85,1,1,1,5,10,-8,1,16,7,-8,1,-8,-8,3,1,1
68062567,2,50,4,1,1,5,1,-8,1,9,2,-8,2,1,-8,2,3,4
68063247,2,42,1,1,1,5,7,-8,3,-8,-8,-8,1,-8,-8,2,3,3
68063251,1,44,1,1,1,5,10,-8,1,13,7,-8,1,-8,-8,2,2,3
68063927,2,38,1,1,1,5,0,-8,1,7,6,-8,2,2,95,-8,-8,4
68063931,1,41,1,1,1,6,0,-8,1,15,7,-8,2,1,-8,1,3,2
68065287,2,41,1,1,1,5,9,-8,1,12,0,-8,2,2,2,-8,3,4
68065967,1,60,1,1,1,5,8,-8,1,12,0,-8,2,1,-8,2,3,3
68065971,2,49,1,1,1,5,1,-8,1,10,0,-8,1,-8,-8,2,2,4
68066647,2,22,1,1,1,5,7,-8,1,12,9,-8,2,2,95,-8,-8,4
68066651,1,23,1,1,1,6,3,-8,1,14,12,-8,2,2,2,-8,3,4
68068007,1,42,1,1,1,5,11,-8,1,14,1,-8,1,-8,-8,2,3,3
68068011,2,42,1,1,1,5,4,-8,1,9,7,-8,1,-8,-8,2,3,4
68068015,2,17,1,1,1,5,2,-8,3,-8,-8,-8,2,2,2,-8,3,4
68069367,1,81,1,1,1,5,6,-8,1,8,4,-8,1,-8,-8,2,2,2
68071407,1,20,1,1,1,5,11,-8,1,11,11,-8,2,2,95,-8,-8,4
68072087,1,55,1,1,1,5,9,-8,1,16,0,-8,2,1,-8,2,3,2
68072091,2,25,1,1,1,5,6,-8,1,11,5,-8,2,2,95,-8,-8,4
68072767,2,34,1,1,1,5,8,-8,1,8,13,-8,2,2,95,-8,-8,4
68073447,1,50,1,1,1,5,6,-8,1,12,7,-8,2,1,-8,2,3,4
68073451,2,42,1,1,1,5,2,-8,1,9,0,-8,2,2,95,-8,-8,4
68073455,1,17,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68074127,2,81,1,1,1,5,2,-8,1,11,3,-8,2,2,95,-8,-8,4
68075487,1,54,1,1,1,5,11,-8,1,15,0,-8,1,-8,-8,2,2,3
68075491,2,63,1,1,1,5,2,-8,1,11,7,-8,2,1,-8,2,3,4
68076167,2,60,1,1,1,5,3,-8,1,11,0,-8,1,-8,-8,2,2,2
68076171,1,63,1,1,1,5,6,-8,1,11,4,-8,1,-8,-8,2,2,2
68081607,1,23,1,1,1,5,9,-8,1,9,7,-8,2,2,95,-8,-8,4
68081611,2,25,1,1,1,5,4,-8,1,10,0,-8,2,2,95,-8,-8,4
68085007,2,71,1,1,1,4,11,-8,1,8,2,-8,1,-8,-8,2,2,2
68085687,1,61,1,1,1,5,10,-8,1,14,2,-8,2,1,-8,2,3,3
68085691,2,61,1,1,1,5,4,-8,1,10,10,-8,1,-8,-8,2,3,3
68086367,2,59,1,1,1,5,2,-8,1,14,7,-8,2,2,95,-8,-8,4
68086371,2,20,1,1,1,5,6,-8,1,16,0,-8,2,2,95,-8,-8,4
68087047,1,67,1,1,1,5,4,-8,1,10,7,-8,1,-8,-8,2,3,4
68087727,2,59,1,1,1,5,3,-8,1,13,0,-8,2,2,3,-8,3,3
68089087,1,33,2,1,1,6,2,-8,1,13,0,-8,2,2,2,-8,3,2
68089091,2,33,2,1,1,5,4,-8,1,12,0,-8,2,2,2,-8,3,3
68089767,2,36,1,1,1,5,6,-8,1,10,2,-8,2,1,-8,2,3,2
68089771,1,28,1,1,1,5,11,-8,1,13,7,-8,1,-8,-8,2,3,2
68090447,2,56,1,1,1,5,1,-8,1,11,4,-8,2,2,95,-8,-8,4
68091127,2,35,1,1,1,5,5,-8,1,12,2,-8,2,2,1,-8,3,2
68093847,2,36,1,1,1,5,8,-8,1,9,7,-8,2,2,95,-8,-8,4
68095887,1,73,1,1,1,5,11,-8,1,16,7,-8,1,-8,-8,2,2,4
68096567,2,24,1,1,1,5,4,-8,1,8,1,-8,2,2,95,-8,-8,4
68097927,2,60,1,1,1,5,3,-8,1,12,0,-8,2,2,95,-8,-8,1
68101327,2,61,1,1,1,5,7,-8,1,10,0,-8,1,-8,-8,2,1,2
